Address,Zip,Price,Area,Room,Lon,Lat,Area Code,Borough,Price (log),Area (log),Index
"Toutenburgstraat 75, Amsterdam",1107 PW,245000.0,68,3,4.9688878,52.2923239,1107,Zuidoost,12.409013489526863,4.219507705176107,70
"Vegastraat 97, Amsterdam",1033 HR,350000.0,65,4,4.885364,52.412066,1033,Noord,12.765688433465597,4.174387269895637,71
"Hofwijckstraat 22 III, Amsterdam",1055 GG,425000.0,69,3,4.850643,52.379711,1055,West,12.959844447906553,4.23410650459726,72
"Sam van Houtenstraat 191 C, Amsterdam",1067 JG,375000.0,94,4,4.800745,52.379133,1067,Nieuw West,12.834681304952548,4.543294782270004,74
"Het Hoogt 180, Amsterdam",1025 HE,335000.0,92,4,4.936896,52.394478,1025,Noord,12.721885810807203,4.5217885770490405,75
"Van Hilligaertstraat 32 C, Amsterdam",1072 KA,450000.0,56,3,4.888332,52.349498,1072,Zuid,13.017002861746503,4.02535169073515,76
"Wethouder Wierdelsstraat 6, Amsterdam",1107 DK,395000.0,101,5,4.993551,52.292948,1107,Zuidoost,12.886641043883259,4.61512051684126,77
"Van Houweningenstraat 66 2, Amsterdam",1052 TR,300000.0,45,2,4.87065,52.37314,1052,West,12.611537753638338,3.8066624897703196,78
"Ternatestraat 174, Amsterdam",1095 RZ,450000.0,84,3,4.944032,52.365457,1095,Oost,13.017002861746503,4.430816798843313,79
"Hudsonstraat 55 hs, Amsterdam",1057 RX,415000.0,51,2,4.853803,52.366082,1057,West,12.936033799212835,3.9318256327243257,80
"Maarten Jansz. Kosterstraat 10, Amsterdam",1017 VX,650000.0,67,4,4.901713,52.360545,1017,Centrum,13.38472764187182,4.204692619390966,81
"Spaarndammerplantsoen 20, Amsterdam",1013 XT,425000.0,52,2,4.876149,52.390376,1013,Centrum,12.959844447906553,3.9512437185814275,82
"Driehoekstraat 72, Amsterdam",1015 GL,469000.0,67,2,4.882743,52.382746,1015,Centrum,13.058358047428417,4.204692619390966,83
"Admiraliteitstraat 48, Amsterdam",1018 KP,485000.0,73,4,4.924634,52.368555,1018,Centrum,13.091904169919621,4.290459441148391,84
"Willem de Zwijgerlaan 334 E15, Amsterdam",1055 RD,225000.0,32,1,4.860857,52.380834,1055,West,12.323855681186558,3.4657359027997265,85
"De Wittenkade 23 2V, Amsterdam",1052 AA,285000.0,29,2,4.880046,52.384661,1052,West,12.560244459250788,3.367295829986474,86
"Keizersgracht 343 F, Amsterdam",1016 EH,995000.0,97,2,4.884982,52.369202,1016,Centrum,13.81049801614073,4.574710978503383,87
"Geschutswerf 81, Amsterdam",1018 AW,1475000.0,220,5,4.920481,52.366984,1018,Centrum,14.204168547756057,5.393627546352362,88
"Bilderdijkkade 22 IV, Amsterdam",1053 VC,475000.0,60,3,4.868057,52.370073,1053,West,13.071070083016778,4.0943445622221,89
"Jan Mankesstraat 13 hs, Amsterdam",1061 SR,475000.0,124,5,4.837522,52.364821,1061,Nieuw West,13.071070083016778,4.820281565605037,90
"Sassenheimstraat 30 1, Amsterdam",1059 BH,395000.0,56,2,4.848779,52.348138,1059,West,12.886641043883259,4.02535169073515,91
"Oudezijds Voorburgwal 161 E, Amsterdam",1012 ET,375000.0,47,2,4.896579,52.372127,1012,Centrum,12.834681304952548,3.8501476017100584,92
"Amstelveenseweg 186 4A, Amsterdam",1075 XR,400000.0,37,2,4.855832,52.352385,1075,Zuid,12.89921982609012,3.6109179126442243,93
"Nova Zemblastraat 544, Amsterdam",1013 RP,325000.0,42,2,4.879081,52.390874,1013,Centrum,12.691580461311874,3.7376696182833684,94
"Achillesstraat 113 2, Amsterdam",1076 RA,400000.0,53,3,4.864958,52.343986,1076,Zuid,12.89921982609012,3.970291913552122,95
"Parnassusweg 151, Amsterdam",1077 DE,475000.0,80,3,4.868693,52.343328,1077,Zuid,13.071070083016778,4.382026634673881,96
"Lamarckhof 11 I, Amsterdam",1098 TK,425000.0,68,3,4.944251,52.352317,1098,Oost,12.959844447906553,4.219507705176107,97
"Cornelis van Vollenhovenstraat 4 B, Amsterdam",1063 KS,375000.0,101,3,4.819711,52.379837,1063,Nieuw West,12.834681304952548,4.61512051684126,98
"Van Boetzelaerstraat 73 II, Amsterdam",1051 EA,365000.0,47,2,4.871178,52.382031,1051,West,12.80765263256463,3.8501476017100584,99
"Pretoriusstraat 11 II, Amsterdam",1092 EW,500000.0,67,3,4.926673,52.356043,1092,Oost,13.122363377404328,4.204692619390966,100
"Wittgensteinlaan 137, Amsterdam",1062 KC,450000.0,92,3,4.835487,52.353658,1062,Nieuw West,13.017002861746503,4.5217885770490405,101
"Prinsengracht 201 E, Amsterdam",1015 DT,725000.0,95,3,4.886006,52.377377,1015,Centrum,13.493926933836812,4.553876891600541,102
"Westeinde 16, Amsterdam",1017 ZP,4550000.0,497,13,4.89862,52.358798,1017,Centrum,15.330637790927133,6.208590026096629,103
"Groenhoven 453, Amsterdam",1103 LN,225000.0,52,2,4.976804,52.325544,1103,Zuidoost,12.323855681186558,3.9512437185814275,104
"Reinier Claeszenstraat 74 3, Amsterdam",1056 WR,375000.0,55,3,4.862201,52.373597,1056,West,12.834681304952548,4.007333185232471,105
"Waterkeringweg 49, Amsterdam",1051 NX,495000.0,74,3,4.867549,52.384604,1051,West,13.112313041550827,4.30406509320417,106
"Lange Leidsedwarsstraat 95 C, Amsterdam",1017 NH,475000.0,58,3,4.885902,52.363158,1017,Centrum,13.071070083016778,4.060443010546419,107
"Lange Leidsedwarsstraat 32 B, Amsterdam",1017 NL,450000.0,53,2,4.882472,52.365273,1017,Centrum,13.017002861746503,3.970291913552122,108
"Vrijheidslaan 14 I, Amsterdam",1078 PJ,475000.0,66,3,4.910224,52.347296,1078,Zuid,13.071070083016778,4.189654742026425,109
"Heemstedestraat 10 I, Amsterdam",1058 NM,475000.0,62,3,4.848941,52.351734,1058,West,13.071070083016778,4.127134385045092,110
"Veldzicht 85, Amsterdam",1068 SM,345000.0,61,3,4.798199,52.362969,1068,Nieuw West,12.751299696013497,4.110873864173311,111
"Rijswijkstraat 69, Amsterdam",1062 ER,369000.0,78,3,4.841525,52.35007,1062,Nieuw West,12.818551923022664,4.356708826689592,112
"Steenderenstraat 74, Amsterdam",1107 LD,320000.0,91,4,4.983191,52.294198,1107,Zuidoost,12.676076274775909,4.51085950651685,113
"Sijsjesstraat 12, Amsterdam",1021 CW,465000.0,66,3,4.917899,52.386198,1021,Noord,13.049792684569493,4.189654742026425,114
"Oudezijds Voorburgwal 93 B, Amsterdam",1012 EL,340000.0,35,2,4.898311,52.373509,1012,Centrum,12.736700896592344,3.5553480614894135,115
"Mijehof 285, Amsterdam",1106 HH,375000.0,111,5,4.970987,52.301346,1106,Zuidoost,12.834681304952548,4.709530201312334,116
"Blasiusstraat 63 2, Amsterdam",1091 CL,595000.0,93,3,4.910003,52.356903,1091,Oost,13.296316684527767,4.532599493153256,117
"Dirk Vreekenstraat 72, Amsterdam",1019 GD,525000.0,92,3,4.936101,52.371484,1019,Centrum,13.17115354157376,4.5217885770490405,118
"Langswater 278, Amsterdam",1069 EC,245000.0,61,3,4.789682,52.355404,1069,Nieuw West,12.409013489526863,4.110873864173311,119
"Jisperveldstraat 371, Amsterdam",1024 AS,275000.0,85,4,4.95037,52.399252,1024,Noord,12.524526376648708,4.442651256490317,120
"Funenpark 316, Amsterdam",1018 AK,575000.0,72,2,4.931839,52.369014,1018,Centrum,13.262125319779487,4.276666119016055,121
"Tielstraat 53, Amsterdam",1107 RA,250000.0,70,3,4.968806,52.291803,1107,Zuidoost,12.429216196844383,4.248495242049359,122
"Panamakade 66, Amsterdam",1019 AX,975000.0,165,5,4.946186,52.373257,1019,Centrum,13.790192749979985,5.10594547390058,123
"Van Oldenbarneveldtstraat 22 II, Amsterdam",1052 KB,375000.0,52,2,4.875248,52.376809,1052,West,12.834681304952548,3.9512437185814275,124
"Amstelvlietstraat 193, Amsterdam",1096 GG,1100000.0,159,5,4.919919,52.338283,1096,Oost,13.9108207377686,5.0689042022202315,125
"Haparandaweg 750, Amsterdam",1013 BD,750000.0,102,3,4.877406,52.394832,1013,Centrum,13.527828485512494,4.624972813284271,126
"Prins Hendrikkade 510 K, Amsterdam",1011 TE,439000.0,55,3,4.90487,52.374978,1011,Centrum,12.992254692057308,4.007333185232471,127
"Afrikanerplein 118, Amsterdam",1091 PW,375000.0,57,2,4.91638,52.352165,1091,Oost,12.834681304952548,4.04305126783455,128
"Anne Frankstraat 224, Amsterdam",1011 MP,445000.0,66,3,4.909207,52.369475,1011,Centrum,13.005829561148378,4.189654742026425,129
"Alkmaarstraat 277, Amsterdam",1024 TR,325000.0,77,4,4.947655,52.395417,1024,Noord,12.691580461311874,4.343805421853684,130
"Geuzenkade 46 H, Amsterdam",1056 KM,415000.0,57,2,4.865612,52.373199,1056,West,12.936033799212835,4.04305126783455,131
"Borgerstraat 29 D, Amsterdam",1053 PA,300000.0,43,2,4.868786,52.365466,1053,West,12.611537753638338,3.7612001156935624,132
"Prinsenstraat 4, Amsterdam",1015 DC,915000.0,88,5,4.887412,52.377742,1015,Centrum,13.726679344257658,4.477336814478207,133
"Schotse Hooglanden 4, Amsterdam",1060 NM,685000.0,183,6,4.7717,52.35337,1060,Nieuw West,13.437174117244362,5.209486152841421,134
"Van Spilbergenstraat 69 II, Amsterdam",1057 PZ,350000.0,50,3,4.85167,52.366405,1057,West,12.765688433465597,3.912023005428146,135
"Cliostraat 23 HS, Amsterdam",1077 KB,1025000.0,135,4,4.875881,52.347368,1077,Zuid,13.840203170554645,4.90527477843843,136
"Windroosplein 96, Amsterdam",1018 ZW,895000.0,177,4,4.924895,52.373122,1018,Centrum,13.704578997256993,5.176149732573829,137
"Nachtwachtlaan 345, Amsterdam",1058 EM,350000.0,59,2,4.84399,52.362946,1058,West,12.765688433465597,4.07753744390572,138
"Antony Moddermanstraat 178, Amsterdam",1063 LW,265000.0,65,3,4.81787,52.383684,1063,Nieuw West,12.487485104968359,4.174387269895637,139
"Wevelgemstraat 8, Amsterdam",1066 TM,500000.0,100,4,4.802122,52.346011,1066,Nieuw West,13.122363377404328,4.605170185988092,140
"Reigersbos 251, Amsterdam",1107 EX,295000.0,106,4,4.977496,52.295032,1107,Zuidoost,12.594730635321957,4.663439094112067,141
"Rubensstraat 26 2, Amsterdam",1077 MR,1175000.0,159,7,4.873365,52.349164,1077,Zuid,13.976778705560397,5.0689042022202315,142
"Herengracht 193 C, Amsterdam",1016 BE,995000.0,113,3,4.888199,52.374321,1016,Centrum,13.81049801614073,4.727387818712341,143
"Jozef Israëlskade 30 B, Amsterdam",1072 RW,385000.0,54,2,4.889927,52.348587,1072,Zuid,12.86099861326992,3.9889840465642745,144
"Tollensstraat 321, Amsterdam",1053 RV,550000.0,89,4,4.870523,52.365141,1053,West,13.217673557208654,4.48863636973214,145
"Kinkerstraat 326 1, Amsterdam",1053 GD,325000.0,40,2,4.862992,52.365,1053,West,12.691580461311874,3.6888794541139363,146
"Hogevecht 47, Amsterdam",1102 HB,225000.0,62,2,4.957403,52.309773,1102,Zuidoost,12.323855681186558,4.127134385045092,147
"Van Boshuizenstraat 135, Amsterdam",1083 AT,395000.0,66,3,4.885793,52.324797,1083,Zuid,12.886641043883259,4.189654742026425,148
"J.G. Suurhoffstraat 123, Amsterdam",1067 VR,425000.0,102,4,4.789341,52.380775,1067,Nieuw West,12.959844447906553,4.624972813284271,149
"Lijnbaansgracht 188 H, Amsterdam",1016 XA,525000.0,64,4,4.878779,52.368556,1016,Centrum,13.17115354157376,4.1588830833596715,150
"Ank van der Moerstraat 29, Amsterdam",1065 LH,800000.0,132,6,4.824867,52.35227,1065,Nieuw West,13.592367006650065,4.882801922586371,151
"Osdorpplein 57, Amsterdam",1068 EK,400000.0,88,4,4.80651,52.359451,1068,Nieuw West,12.89921982609012,4.477336814478207,152
"Wieringerwaardstraat 221, Amsterdam",1024 HL,250000.0,50,2,4.959052,52.3958,1024,Noord,12.429216196844383,3.912023005428146,153
"Van Boetzelaerstraat 40 H, Amsterdam",1051 CW,360000.0,41,2,4.873624,52.382635,1051,West,12.793859310432293,3.713572066704308,154
"Faas Wilkesstraat 275, Amsterdam",1095 MD,1050000.0,154,4,4.968819,52.373001,1095,Oost,13.864300722133706,5.0369526024136295,155
"IJsselmeerstraat 52, Amsterdam",1024 ML,799000.0,230,8,4.961381,52.389087,1024,Noord,13.591116224748411,5.438079308923196,156
"Utrechtsedwarsstraat 4, Amsterdam",1017 WG,1700000.0,194,6,4.896542,52.360937,1017,Centrum,14.346138809026444,5.267858159063328,157
"Neerkanne 7, Amsterdam",1082 BG,825000.0,178,7,4.870427,52.324201,1082,Zuid,13.623138665316818,5.181783550292085,158
"Dirk Bonsstraat 18 I, Amsterdam",1063 TZ,290000.0,50,2,4.834901,52.378363,1063,Nieuw West,12.577636201962656,3.912023005428146,159
"Singel 32 G, Amsterdam",1015 AA,469000.0,50,3,4.893043,52.37844,1015,Centrum,13.058358047428417,3.912023005428146,160
"Amstel 186 HS, Amsterdam",1017 AG,625000.0,74,3,4.89965,52.366621,1017,Centrum,13.345506928718539,4.30406509320417,161
"Nieuwe Prinsengracht 8 3, Amsterdam",1018 XH,1050000.0,149,8,4.904917,52.362949,1018,Centrum,13.864300722133706,5.003946305945459,162
"Plejadenplein 1, Amsterdam",1033 VK,540000.0,79,4,4.88439,52.413734,1033,Noord,13.199324418540456,4.3694478524670215,163
"Kikkenstein 3534, Amsterdam",1104 TT,285000.0,96,4,4.972596,52.317512,1104,Zuidoost,12.560244459250788,4.564348191467836,164
"Quashibastraat 42 C, Amsterdam",1087 VS,859000.0,168,3,5.016505,52.350556,1087,Oost,13.663524200966393,5.123963979403259,165
"Het Breed 605, Amsterdam",1025 HW,275000.0,63,2,4.93924,52.396536,1025,Noord,12.524526376648708,4.143134726391533,166
"Tjeukemeerhof 14, Amsterdam",1060 PR,525000.0,153,6,4.778978,52.349265,1060,Nieuw West,13.17115354157376,5.030437921392435,167
"Van Mourik Broekmanstraat 12 I, Amsterdam",1065 EX,375000.0,73,4,4.826759,52.356709,1065,Nieuw West,12.834681304952548,4.290459441148391,168
"Vrijzicht 180, Amsterdam",1068 CK,399500.0,89,2,4.807068,52.362692,1068,Nieuw West,12.897969044188466,4.48863636973214,169
"Oeverpad 482, Amsterdam",1068 PM,430000.0,103,4,4.807703,52.363646,1068,Nieuw West,12.971540487669746,4.634728988229636,170
"Ouderkerkerdijk 34, Amsterdam",1096 CR,1300000.0,141,4,4.904363,52.333206,1096,Oost,14.077874822431765,4.948759890378168,171
"Leonard Bernsteinstraat 96 A, Amsterdam",1082 MR,1750000.0,130,3,4.872151,52.336348,1082,Zuid,14.375126345899696,4.867534450455582,172
"Westerstraat 268, Amsterdam",1015 MT,950000.0,109,4,4.879612,52.377871,1015,Centrum,13.764217263576723,4.6913478822291435,173
"Nieuwezijds Voorburgwal 294 1, Amsterdam",1012 RT,1450000.0,150,3,4.88987,52.370706,1012,Centrum,14.187074114396758,5.0106352940962555,174
"Kleiburg 524, Amsterdam",1104 EA,285000.0,69,3,4.979002,52.318782,1104,Zuidoost,12.560244459250788,4.23410650459726,175
"Willem Leevendstraat 1 1, Amsterdam",1055 KB,300000.0,54,2,4.846858,52.384197,1055,West,12.611537753638338,3.9889840465642745,176
"Amstelveenseweg 970 C, Amsterdam",1081 JR,1500000.0,166,4,4.857216,52.325762,1081,Zuid,14.22097566607244,5.111987788356544,177
"Henri Zagwijnstraat 14 3, Amsterdam",1077 XR,685000.0,107,4,4.868754,52.341846,1077,Zuid,13.437174117244362,4.672828834461906,178
"Dam 5 V, Amsterdam",1012 JS,4495000.0,178,5,4.89429,52.373106,1012,Centrum,15.318476225887858,5.181783550292085,179
"Zuideinde 356, Amsterdam",1035 PP,989000.0,171,5,4.893261,52.419532,1035,Noord,13.804449610604848,5.14166355650266,180
"'t Nopeind 2, Amsterdam",1027 AE,765000.0,100,4,4.964853,52.409986,1027,Noord,13.547631112808673,4.605170185988092,181
"Hillenraadt 46, Amsterdam",1083 AJ,900000.0,159,9,4.886918,52.323885,1083,Zuid,13.710150042306449,5.0689042022202315,182
"Archimedesweg 56, Amsterdam",1098 JR,665000.0,118,4,4.938738,52.356081,1098,Oost,13.407542319637992,4.770684624465665,183
"Huidekoperstraat 24 F, Amsterdam",1017 ZM,2475000.0,183,4,4.897473,52.358943,1017,Centrum,14.721750953984929,5.209486152841421,184
"Bos en Lommerweg 360, Amsterdam",1061 DJ,475000.0,98,4,4.83852,52.379072,1061,Nieuw West,13.071070083016778,4.584967478670572,185
"Groetstraat 193, Amsterdam",1024 VE,300000.0,78,4,4.950977,52.393821,1024,Noord,12.611537753638338,4.356708826689592,186
"Catharina Boudewijnshof 51, Amsterdam",1064 PE,350000.0,103,4,4.809689,52.378,1064,Nieuw West,12.765688433465597,4.634728988229636,187
"Mauritsstraat 2, Amsterdam",1091 DA,450000.0,45,2,4.9064,52.358857,1091,Oost,13.017002861746503,3.8066624897703196,188
"Ringvaartdijk 80, Amsterdam",1066 DJ,600000.0,145,4,4.799931,52.334488,1066,Nieuw West,13.304684934198283,4.976733742420574,189
"Joan Melchior Kemperstraat 46 IV, Amsterdam",1051 TS,350000.0,39,2,4.874462,52.38503,1051,West,12.765688433465597,3.6635616461296463,190
"Nachtwachtlaan 164, Amsterdam",1058 EE,595000.0,100,3,4.84313,52.359998,1058,West,13.296316684527767,4.605170185988092,191
"Borgerstraat 202 I, Amsterdam",1053 RD,335000.0,42,2,4.862224,52.364187,1053,West,12.721885810807203,3.7376696182833684,192
"Gerrit van der Veenstraat 134, Amsterdam",1077 ES,1295000.0,154,4,4.867645,52.348806,1077,Zuid,14.074021253115776,5.0369526024136295,193
